scene_index,filename,threshold,valid_pixels,burn_pixels,predicted_burn_pixels,true_positive,false_positive,false_negative,true_negative,burn_iou,burn_precision,burn_recall,burn_f1,pixel_accuracy,ground_truth_burn_fraction,predicted_burn_fraction,burn_fraction_difference
225,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SCG.2019111.v1.4_merged.tif,0.4,262128,3219,1660,1618,42,1601,258867,0.4961668199938669,0.9746987951807229,0.5026405716060889,0.6632506661201066,0.9937320698284807,0.012280260025636331,0.006332783983397424,-0.005947476042238907
226,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SDB.2018133.v1.4_merged.tif,0.4,262144,9539,397,301,96,9238,252509,0.031240269849507004,0.7581863979848866,0.031554670300870113,0.060587761674718195,0.9643936157226562,0.036388397216796875,0.001514434814453125,-0.03487396240234375
227,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SDC.2018098.v1.4_merged.tif,0.4,262143,4384,1544,1494,50,2890,257709,0.33694181326116374,0.9676165803108808,0.3407846715328467,0.5040485829959513,0.9887847472562685,0.016723696608339722,0.005889915046367822,-0.0108337815619719
228,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SDC.2021127.v1.4_merged.tif,0.4,261341,5408,728,696,32,4712,255901,0.12794117647058822,0.9560439560439561,0.128698224852071,0.226857887874837,0.9818474713114284,0.020693270478034445,0.0027856325643507906,-0.017907637913683654
229,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SEB.2018090.v1.4_merged.tif,0.4,262142,5356,3553,1711,1842,3645,254944,0.23770491803278687,0.4815648747537292,0.31945481702763256,0.3841059602649006,0.9790685964095796,0.020431674435992708,0.013553722791464167,-0.00687795164452854
230,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SEB.2018095.v1.4_merged.tif,0.4,262144,5378,8334,3320,5014,2058,251752,0.31947652040030794,0.39836813054955605,0.6173298624023801,0.48424737456242717,0.9730224609375,0.02051544189453125,0.03179168701171875,0.0112762451171875
231,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SEB.2018155.v1.4_merged.tif,0.4,262143,5716,140,125,15,5591,256412,0.02181120223346711,0.8928571428571429,0.021868439468159553,0.0426912568306011,0.9786147255505583,0.021804892749377247,0.0005340596544634035,-0.021270833094913844
232,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SEB.2019100.v1.4_merged.tif,0.4,262144,5734,4792,4160,632,1574,255778,0.6534715677034244,0.8681135225375626,0.7254970352284618,0.7904237127113812,0.9915847778320312,0.02187347412109375,0.018280029296875,-0.00359344482421875
233,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SEB.2021069.v1.4_merged.tif,0.4,262137,11368,27186,10649,16537,719,234232,0.38161619781401185,0.3917089678510998,0.9367522871217453,0.5524199823624008,0.9341718261824924,0.043366636529753526,0.10370912919580219,0.060342492666048665
234,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SEC.2020105.v1.4_merged.tif,0.4,262144,5888,0,0,0,5888,256256,0.0,0.0,0.0,0.0,0.9775390625,0.0224609375,0.0,-0.0224609375
235,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SEH.2021102.v1.4_merged.tif,0.4,262143,4326,2147,2145,2,2181,257815,0.4956099815157117,0.9990684676292502,0.4958391123439667,0.6627529738915495,0.9916724841021884,0.01650244332291917,0.008190186272378053,-0.008312257050541116
236,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SFB.2019100.v1.4_merged.tif,0.4,262073,3340,404,0,404,3340,258329,0.0,0.0,0.0,0.0,0.9857139041412125,0.012744540643255886,0.0015415552155315503,-0.011202985427724335
237,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SFC.2018155.v1.4_merged.tif,0.4,262144,3947,3095,2544,551,1403,257646,0.565584704313028,0.8219709208400646,0.6445401570813276,0.7225220107923885,0.9925460815429688,0.015056610107421875,0.011806488037109375,-0.0032501220703125
